类别：所有类别

周,XGBoost: (全球),lightgbm: (全球),catboost: (全球)
2015-12-06,14,0,0
2015-12-13,13,0,0
2015-12-20,16,0,0
2015-12-27,6,0,0
2016-01-03,12,0,0
2016-01-10,20,0,0
2016-01-17,15,0,0
2016-01-24,12,0,0
2016-01-31,29,0,0
2016-02-07,28,0,0
2016-02-14,12,0,0
2016-02-21,19,0,0
2016-02-28,14,0,0
2016-03-06,25,0,0
2016-03-13,22,0,0
2016-03-20,17,0,0
2016-03-27,16,0,0
2016-04-03,10,0,0
2016-04-10,23,0,0
2016-04-17,27,0,0
2016-04-24,25,0,0
2016-05-01,15,0,0
2016-05-08,22,0,0
2016-05-15,24,0,0
2016-05-22,28,0,0
2016-05-29,31,0,0
2016-06-05,23,0,0
2016-06-12,21,0,0
2016-06-19,20,0,0
2016-06-26,23,0,0
2016-07-03,24,0,0
2016-07-10,18,0,0
2016-07-17,23,0,0
2016-07-24,25,0,0
2016-07-31,21,0,0
2016-08-07,20,0,0
2016-08-14,27,0,0
2016-08-21,36,0,0
2016-08-28,22,0,0
2016-09-04,26,0,0
2016-09-11,22,0,0
2016-09-18,24,0,0
2016-09-25,28,0,0
2016-10-02,19,0,0
2016-10-09,35,0,0
2016-10-16,32,1,0
2016-10-23,37,1,0
2016-10-30,43,0,0
2016-11-06,23,1,0
2016-11-13,39,0,0
2016-11-20,37,3,0
2016-11-27,40,1,0
2016-12-04,38,0,0
2016-12-11,31,0,0
2016-12-18,34,4,0
2016-12-25,29,0,0
2017-01-01,29,4,0
2017-01-08,27,1,0
2017-01-15,38,4,0
2017-01-22,43,1,0
2017-01-29,27,0,0
2017-02-05,30,4,0
2017-02-12,20,1,0
2017-02-19,36,0,0
2017-02-26,43,1,0
2017-03-05,39,2,0
2017-03-12,44,4,0
2017-03-19,44,1,0
2017-03-26,41,5,0
2017-04-02,63,1,0
2017-04-09,31,1,0
2017-04-16,39,6,0
2017-04-23,38,1,0
2017-04-30,54,0,0
2017-05-07,65,4,0
2017-05-14,48,1,0
2017-05-21,46,3,0
2017-05-28,39,3,0
2017-06-04,52,4,0
2017-06-11,56,8,0
2017-06-18,61,6,0
2017-06-25,41,1,0
2017-07-02,63,4,0
2017-07-09,46,3,0
2017-07-16,72,8,11
2017-07-23,70,5,9
2017-07-30,56,6,6
2017-08-06,68,5,3
2017-08-13,47,10,4
2017-08-20,49,4,3
2017-08-27,57,5,5
2017-09-03,43,9,4
2017-09-10,47,6,4
2017-09-17,63,6,1
2017-09-24,46,5,1
2017-10-01,52,12,2
2017-10-08,46,10,5
2017-10-15,57,9,4
2017-10-22,86,11,2
2017-10-29,67,6,0
2017-11-05,51,11,2
2017-11-12,66,12,5
2017-11-19,62,7,4
2017-11-26,58,7,0
2017-12-03,49,4,1
2017-12-10,62,5,1
