类别：所有类别

周,jupyter notebook: (全球),Jupyterlab: (全球),Spyder: (全球),PyCharm: (全球)
2015-12-06,2,0,5,32
2015-12-13,2,0,5,30
2015-12-20,2,0,5,26
2015-12-27,2,<1,5,22
2016-01-03,3,0,4,28
2016-01-10,3,0,6,28
2016-01-17,3,0,6,32
2016-01-24,4,0,5,29
2016-01-31,3,0,6,29
2016-02-07,4,0,7,31
2016-02-14,4,0,6,29
2016-02-21,4,0,6,32
2016-02-28,4,<1,7,32
2016-03-06,4,0,5,32
2016-03-13,4,0,6,34
2016-03-20,5,0,5,32
2016-03-27,5,0,8,33
2016-04-03,5,0,8,33
2016-04-10,6,0,5,33
2016-04-17,6,0,6,34
2016-04-24,3,0,6,30
2016-05-01,6,0,5,30
2016-05-08,5,0,7,35
2016-05-15,5,<1,5,33
2016-05-22,6,0,6,32
2016-05-29,5,0,6,31
2016-06-05,5,0,6,33
2016-06-12,8,0,5,31
2016-06-19,5,0,6,34
2016-06-26,5,0,7,29
2016-07-03,5,0,5,31
2016-07-10,6,<1,5,35
2016-07-17,6,<1,6,33
2016-07-24,5,<1,4,34
2016-07-31,7,<1,6,35
2016-08-07,6,0,4,34
2016-08-14,5,0,4,30
2016-08-21,5,<1,5,36
2016-08-28,7,<1,6,34
2016-09-04,8,<1,7,34
2016-09-11,7,<1,6,37
2016-09-18,8,<1,8,37
2016-09-25,7,1,7,35
2016-10-02,8,<1,8,34
2016-10-09,9,0,8,37
2016-10-16,10,<1,9,35
2016-10-23,10,<1,8,36
2016-10-30,9,<1,8,36
2016-11-06,8,<1,9,36
2016-11-13,8,1,9,42
2016-11-20,8,<1,8,39
2016-11-27,10,<1,8,43
2016-12-04,10,<1,10,39
2016-12-11,8,0,9,41
2016-12-18,10,<1,8,36
2016-12-25,6,0,7,30
2017-01-01,10,<1,10,39
2017-01-08,12,<1,10,44
2017-01-15,12,<1,12,42
2017-01-22,14,<1,9,44
2017-01-29,12,<1,11,41
2017-02-05,14,<1,9,41
2017-02-12,13,<1,11,46
2017-02-19,13,<1,13,50
2017-02-26,14,<1,12,48
2017-03-05,17,<1,13,50
2017-03-12,14,<1,10,51
2017-03-19,15,<1,10,49
2017-03-26,14,<1,11,53
2017-04-02,17,<1,10,52
2017-04-09,14,<1,11,49
2017-04-16,16,<1,11,48
2017-04-23,19,<1,13,50
2017-04-30,14,<1,11,47
2017-05-07,18,<1,12,50
2017-05-14,16,<1,11,48
2017-05-21,12,1,11,47
2017-05-28,15,1,12,45
2017-06-04,15,<1,11,47
2017-06-11,15,<1,11,48
2017-06-18,16,<1,11,49
2017-06-25,16,<1,11,49
2017-07-02,15,1,10,43
2017-07-09,22,1,11,46
2017-07-16,17,1,12,48
2017-07-23,18,<1,12,53
2017-07-30,18,<1,14,51
2017-08-06,17,<1,11,53
2017-08-13,16,1,12,48
2017-08-20,19,2,10,47
2017-08-27,18,1,12,56
2017-09-03,21,1,18,47
2017-09-10,21,<1,15,53
2017-09-17,21,1,17,57
2017-09-24,23,1,24,52
2017-10-01,20,1,19,55
2017-10-08,24,<1,17,56
2017-10-15,26,1,16,56
2017-10-22,22,1,15,55
2017-10-29,22,1,15,55
2017-11-05,24,1,15,62
2017-11-12,25,1,13,59
2017-11-19,25,1,14,54
2017-11-26,24,1,14,60
2017-12-03,26,1,14,62
2017-12-10,22,1,12,59
2017-12-17,22,1,13,57
2017-12-24,16,<1,12,46
2017-12-31,18,<1,12,49
2018-01-07,23,1,15,61
2018-01-14,25,1,13,61
2018-01-21,25,1,14,66
2018-01-28,28,1,17,66
2018-02-04,29,2,15,67
2018-02-11,28,2,13,63
2018-02-18,29,6,13,62
2018-02-25,28,5,15,68
2018-03-04,28,3,14,71
2018-03-11,30,4,15,64
2018-03-18,31,2,14,69
2018-03-25,31,2,13,69
2018-04-01,36,3,14,68
2018-04-08,31,2,14,70
2018-04-15,33,3,11,66
2018-04-22,31,2,13,68
2018-04-29,28,2,14,67
2018-05-06,29,2,12,67
2018-05-13,30,2,13,70
2018-05-20,32,2,15,63
2018-05-27,30,2,14,64
2018-06-03,33,1,14,67
2018-06-10,31,2,13,63
2018-06-17,29,3,13,64
2018-06-24,32,3,11,66
2018-07-01,28,1,11,60
2018-07-08,31,2,12,65
2018-07-15,28,1,14,63
2018-07-22,33,2,12,66
2018-07-29,30,2,15,71
2018-08-05,31,2,13,67
2018-08-12,30,2,12,66
2018-08-19,31,2,14,68
2018-08-26,36,2,10,75
2018-09-02,36,3,15,76
2018-09-09,34,2,14,72
2018-09-16,36,3,16,71
2018-09-23,34,3,17,73
2018-09-30,35,3,14,67
2018-10-07,40,2,14,74
2018-10-14,40,3,15,77
2018-10-21,38,3,17,74
2018-10-28,35,3,17,71
2018-11-04,34,3,15,68
2018-11-11,38,2,17,72
2018-11-18,35,3,15,70
2018-11-25,36,2,17,74
2018-12-02,41,2,15,78
2018-12-09,36,3,15,71
2018-12-16,33,2,13,66
2018-12-23,22,1,10,49
2018-12-30,24,2,11,51
2019-01-06,34,3,15,73
2019-01-13,38,3,12,73
2019-01-20,37,2,16,77
2019-01-27,42,2,13,74
2019-02-03,40,3,13,71
2019-02-10,39,3,16,79
2019-02-17,43,3,15,84
2019-02-24,40,2,13,83
2019-03-03,41,4,14,82
2019-03-10,44,3,13,83
2019-03-17,43,3,15,81
2019-03-24,40,3,13,85
2019-03-31,43,2,15,85
2019-04-07,44,3,18,87
2019-04-14,43,2,14,79
2019-04-21,41,3,13,77
2019-04-28,36,3,14,69
2019-05-05,45,3,16,82
2019-05-12,40,4,13,80
2019-05-19,41,2,15,82
2019-05-26,38,3,13,81
2019-06-02,43,3,16,78
