类别：所有类别

周,pandas: (全球),NumPy: (全球),matplotlib: (全球),scikit-learn: (全球)
2015-12-06,19,17,12,6
2015-12-13,17,17,11,6
2015-12-20,13,11,7,5
2015-12-27,13,10,6,3
2016-01-03,19,15,9,5
2016-01-10,20,16,11,6
2016-01-17,22,18,12,5
2016-01-24,25,18,12,6
2016-01-31,26,20,14,7
2016-02-07,23,20,13,7
2016-02-14,23,20,11,6
2016-02-21,24,20,14,7
2016-02-28,23,21,13,7
2016-03-06,24,20,14,8
2016-03-13,25,20,14,7
2016-03-20,25,18,13,7
2016-03-27,23,19,14,8
2016-04-03,26,22,14,8
2016-04-10,26,23,13,7
2016-04-17,28,23,15,8
2016-04-24,25,22,14,8
2016-05-01,25,19,13,8
2016-05-08,26,20,14,8
2016-05-15,28,20,14,7
2016-05-22,26,21,14,7
2016-05-29,24,20,14,8
2016-06-05,27,20,13,7
2016-06-12,27,20,13,8
2016-06-19,26,20,14,8
2016-06-26,26,18,13,7
2016-07-03,26,18,13,7
2016-07-10,27,17,12,7
2016-07-17,28,17,12,7
2016-07-24,26,17,13,7
2016-07-31,24,18,13,7
2016-08-07,25,17,11,6
2016-08-14,22,15,10,5
2016-08-21,26,18,13,7
2016-08-28,27,19,11,6
2016-09-04,28,18,13,7
2016-09-11,28,20,13,7
2016-09-18,29,22,14,9
2016-09-25,29,22,13,8
2016-10-02,29,23,13,8
2016-10-09,28,24,13,9
2016-10-16,31,24,14,10
2016-10-23,32,26,16,11
2016-10-30,32,24,14,11
2016-11-06,32,24,15,11
2016-11-13,36,29,18,11
2016-11-20,30,26,14,11
2016-11-27,35,29,17,12
2016-12-04,35,27,16,12
2016-12-11,33,25,16,10
2016-12-18,30,21,13,9
2016-12-25,22,15,9,7
2017-01-01,27,18,12,9
2017-01-08,34,25,15,10
2017-01-15,34,24,16,11
2017-01-22,36,27,17,11
2017-01-29,36,28,18,10
2017-02-05,40,29,18,11
2017-02-12,37,30,19,12
2017-02-19,38,33,18,13
2017-02-26,44,32,19,13
2017-03-05,39,33,19,13
2017-03-12,42,33,21,13
2017-03-19,45,33,20,14
2017-03-26,42,32,20,15
2017-04-02,43,33,19,14
2017-04-09,43,31,18,15
2017-04-16,42,33,19,14
2017-04-23,43,35,19,15
2017-04-30,42,32,18,13
2017-05-07,43,32,19,14
2017-05-14,41,29,20,13
2017-05-21,40,27,17,13
2017-05-28,39,27,18,13
2017-06-04,40,28,18,15
2017-06-11,45,27,19,15
2017-06-18,48,30,19,14
2017-06-25,45,29,17,14
2017-07-02,41,27,17,14
2017-07-09,47,27,18,14
2017-07-16,45,31,18,13
2017-07-23,47,28,19,13
