类别：所有类别

周,XGBoost: (全球),lightgbm: (全球),catboost: (全球),scikit-learn: (全球)
2015-12-06,2,0,0,28
2015-12-13,3,0,0,26
2015-12-20,3,0,0,22
2015-12-27,2,0,0,15
2016-01-03,2,0,0,19
2016-01-10,4,0,0,24
2016-01-17,3,0,0,23
2016-01-24,2,0,0,24
2016-01-31,6,0,0,32
2016-02-07,5,0,0,29
2016-02-14,2,0,0,26
2016-02-21,4,0,0,30
2016-02-28,3,0,0,31
2016-03-06,6,0,0,35
2016-03-13,5,0,0,31
2016-03-20,5,0,0,31
2016-03-27,5,0,0,33
2016-04-03,4,0,0,34
2016-04-10,4,0,0,32
2016-04-17,5,0,0,35
2016-04-24,6,0,0,34
2016-05-01,4,0,0,35
2016-05-08,4,0,0,33
2016-05-15,4,0,0,32
2016-05-22,4,0,0,31
2016-05-29,5,0,0,34
2016-06-05,6,0,0,31
2016-06-12,4,0,0,34
2016-06-19,4,0,0,34
2016-06-26,4,0,0,29
2016-07-03,6,0,0,29
2016-07-10,3,0,0,30
2016-07-17,5,0,0,31
2016-07-24,5,0,0,32
2016-07-31,4,0,0,30
2016-08-07,4,0,0,25
2016-08-14,5,0,0,20
2016-08-21,6,0,0,30
2016-08-28,5,0,0,27
2016-09-04,6,0,0,30
2016-09-11,6,0,0,32
2016-09-18,5,0,0,37
2016-09-25,5,0,0,33
2016-10-02,5,0,0,33
2016-10-09,6,0,0,39
2016-10-16,8,1,0,41
2016-10-23,7,<1,0,45
2016-10-30,8,<1,0,45
2016-11-06,6,<1,0,47
2016-11-13,8,1,0,46
2016-11-20,8,1,0,47
2016-11-27,8,<1,0,52
2016-12-04,8,<1,0,51
2016-12-11,6,1,0,44
2016-12-18,7,1,0,39
2016-12-25,6,<1,0,31
2017-01-01,6,1,0,38
2017-01-08,7,<1,0,42
2017-01-15,10,1,0,47
2017-01-22,9,1,0,49
2017-01-29,6,0,0,44
2017-02-05,8,1,0,49
2017-02-12,7,<1,0,50
2017-02-19,8,1,0,54
2017-02-26,8,<1,0,57
2017-03-05,10,1,0,57
2017-03-12,9,1,0,56
2017-03-19,9,<1,0,59
2017-03-26,10,1,0,64
2017-04-02,11,<1,0,62
2017-04-09,9,<1,0,66
2017-04-16,11,1,0,60
2017-04-23,10,1,0,66
2017-04-30,10,1,0,56
2017-05-07,12,1,0,62
2017-05-14,11,<1,0,57
2017-05-21,9,1,0,54
2017-05-28,10,1,0,55
2017-06-04,13,1,0,66
2017-06-11,11,2,0,66
2017-06-18,13,2,0,62
2017-06-25,11,1,0,60
2017-07-02,12,1,0,60
2017-07-09,11,2,0,61
2017-07-16,12,1,2,58
2017-07-23,14,1,2,55
2017-07-30,11,2,1,62
2017-08-06,13,1,1,62
2017-08-13,8,2,1,54
2017-08-20,8,1,<1,50
2017-08-27,9,1,1,56
2017-09-03,10,1,1,56
2017-09-10,11,1,1,53
2017-09-17,12,1,<1,60
2017-09-24,10,1,<1,63
2017-10-01,12,2,1,58
2017-10-08,11,2,1,71
2017-10-15,13,1,1,68
2017-10-22,16,2,<1,69
2017-10-29,14,1,2,72
2017-11-05,12,2,1,74
2017-11-12,13,2,1,78
2017-11-19,12,2,1,72
2017-11-26,13,2,1,73
2017-12-03,13,1,<1,77
2017-12-10,14,2,1,71
2017-12-17,12,3,1,65
2017-12-24,6,1,1,43
2017-12-31,9,2,1,49
2018-01-07,11,2,1,63
2018-01-14,10,2,1,66
2018-01-21,12,2,<1,69
2018-01-28,9,1,1,70
2018-02-04,11,1,1,68
2018-02-11,12,1,1,70
2018-02-18,13,2,1,67
2018-02-25,13,1,<1,75
2018-03-04,12,1,<1,76
2018-03-11,13,2,1,78
2018-03-18,14,2,1,77
2018-03-25,16,2,1,77
2018-04-01,14,2,2,85
2018-04-08,13,3,1,80
2018-04-15,12,3,2,77
2018-04-22,17,4,1,76
2018-04-29,14,2,1,72
2018-05-06,13,3,1,72
2018-05-13,13,3,1,76
2018-05-20,14,3,2,74
2018-05-27,15,3,<1,75
2018-06-03,13,3,2,70
2018-06-10,15,3,1,72
2018-06-17,13,2,1,78
2018-06-24,16,4,1,70
2018-07-01,15,3,1,62
2018-07-08,13,4,1,75
2018-07-15,16,4,2,77
2018-07-22,15,4,1,73
2018-07-29,16,3,1,69
2018-08-05,12,4,1,68
2018-08-12,14,4,2,67
2018-08-19,14,3,1,62
2018-08-26,16,3,1,66
2018-09-02,14,3,1,66
2018-09-09,12,3,1,66
2018-09-16,14,4,1,72
2018-09-23,14,2,1,72
2018-09-30,12,3,1,73
2018-10-07,15,4,1,74
2018-10-14,15,4,1,78
2018-10-21,18,5,1,82
2018-10-28,16,4,1,77
2018-11-04,12,3,1,82
2018-11-11,15,4,2,90
2018-11-18,16,4,1,79
2018-11-25,16,4,1,81
2018-12-02,14,4,2,93
2018-12-09,15,3,2,87
2018-12-16,13,4,2,65
2018-12-23,8,3,1,49
2018-12-30,11,3,1,45
2019-01-06,12,4,1,63
2019-01-13,13,3,1,69
2019-01-20,15,4,1,69
2019-01-27,15,5,2,77
2019-02-03,14,4,2,78
2019-02-10,16,4,2,76
2019-02-17,17,4,1,86
2019-02-24,18,5,2,86
2019-03-03,17,4,1,80
2019-03-10,17,4,1,82
2019-03-17,18,6,2,86
2019-03-24,18,5,1,88
2019-03-31,16,5,1,81
2019-04-07,17,5,2,89
2019-04-14,21,3,2,91
2019-04-21,17,4,2,83
2019-04-28,16,3,2,79
2019-05-05,18,4,1,89
2019-05-12,18,4,1,88
2019-05-19,17,4,3,83
2019-05-26,17,3,2,82
2019-06-02,19,4,1,87
2019-06-09,14,5,2,83
2019-06-16,19,5,3,84
2019-06-23,17,4,2,85
2019-06-30,15,4,1,78
2019-07-07,17,6,1,88
2019-07-14,19,5,1,87
2019-07-21,17,4,1,86
2019-07-28,17,3,2,78
2019-08-04,16,4,2,81
2019-08-11,20,5,1,81
2019-08-18,20,5,2,79
2019-08-25,17,5,2,78
2019-09-01,17,6,2,80
2019-09-08,17,4,2,79
2019-09-15,18,4,1,85
2019-09-22,17,5,2,89
2019-09-29,14,3,3,80
2019-10-06,17,4,3,91
2019-10-13,15,5,2,92
2019-10-20,17,5,3,89
2019-10-27,17,4,1,81
2019-11-03,19,5,2,93
2019-11-10,20,5,4,94
2019-11-17,19,6,2,100
2019-11-24,17,5,2,91
2019-12-01,18,5,3,96
2019-12-08,18,6,2,91
2019-12-15,14,4,2,77
2019-12-22,10,3,1,50
2019-12-29,11,3,1,52
2020-01-05,15,4,2,73
2020-01-12,17,5,1,74
2020-01-19,13,5,2,81
2020-01-26,16,4,1,78
2020-02-02,14,4,2,86
2020-02-09,15,5,3,90
2020-02-16,19,4,3,91
2020-02-23,19,6,2,93
2020-03-01,20,4,2,93
2020-03-08,18,5,2,82
2020-03-15,16,3,2,74
2020-03-22,15,4,1,83
2020-03-29,13,3,1,83
2020-04-05,14,3,2,82
2020-04-12,16,3,2,84
2020-04-19,15,4,1,88
2020-04-26,14,6,2,86
2020-05-03,16,5,2,87
2020-05-10,16,5,2,92
2020-05-17,18,5,3,91
2020-05-24,16,5,2,86
2020-05-31,16,4,2,85
2020-06-07,17,5,2,85
2020-06-14,18,5,2,83
2020-06-21,16,4,1,80
2020-06-28,18,4,2,78
2020-07-05,16,5,2,82
2020-07-12,19,4,2,81
2020-07-19,17,7,2,84
2020-07-26,17,7,2,87
2020-08-02,15,6,2,76
2020-08-09,15,5,2,76
2020-08-16,17,5,2,77
2020-08-23,18,5,3,72
2020-08-30,17,4,2,78
2020-09-06,15,6,2,76
2020-09-13,18,6,3,78
2020-09-20,16,4,3,77
2020-09-27,14,4,2,67
2020-10-04,13,4,3,74
2020-10-11,13,4,2,69
2020-10-18,12,3,2,67
